index,hex,RGB,red,green,blue
0,0x00,0x000000,0,0,0
1,0x01,0x000054,0,0,84
2,0x02,0x0000C3,0,0,195
3,0x03,0x0000FF,0,0,255
4,0x04,0x002900,0,41,0
5,0x05,0x002954,0,41,84
6,0x06,0x0029C3,0,41,195
7,0x07,0x0029FF,0,41,255
8,0x08,0x005400,0,84,0
9,0x09,0x005454,0,84,84
10,0x0A,0x0054C3,0,84,195
11,0x0B,0x0054FF,0,84,255
12,0x0C,0x007500,0,117,0
13,0x0D,0x007554,0,117,84
14,0x0E,0x0075C3,0,117,195
15,0x0F,0x0075FF,0,117,255
16,0x10,0x00A600,0,166,0
17,0x11,0x00A654,0,166,84
18,0x12,0x00A6C3,0,166,195
19,0x13,0x00A6FF,0,166,255
20,0x14,0x00C300,0,195,0
21,0x15,0x00C354,0,195,84
22,0x16,0x00C3C3,0,195,195
23,0x17,0x00C3FF,0,195,255
24,0x18,0x00E600,0,230,0
25,0x19,0x00E654,0,230,84
26,0x1A,0x00E6C3,0,230,195
27,0x1B,0x00E6FF,0,230,255
28,0x1C,0x00FF00,0,255,0
29,0x1D,0x00FF54,0,255,84
30,0x1E,0x00FFC3,0,255,195
31,0x1F,0x00FFFF,0,255,255
32,0x20,0x290000,41,0,0
33,0x21,0x290054,41,0,84
34,0x22,0x2900C3,41,0,195
35,0x23,0x2900FF,41,0,255
36,0x24,0x292900,41,41,0
37,0x25,0x292954,41,41,84
38,0x26,0x2929C3,41,41,195
39,0x27,0x2929FF,41,41,255
40,0x28,0x295400,41,84,0
41,0x29,0x295454,41,84,84
42,0x2A,0x2954C3,41,84,195
43,0x2B,0x2954FF,41,84,255
44,0x2C,0x297500,41,117,0
45,0x2D,0x297554,41,117,84
46,0x2E,0x2975C3,41,117,195
47,0x2F,0x2975FF,41,117,255
48,0x30,0x29A600,41,166,0
49,0x31,0x29A654,41,166,84
50,0x32,0x29A6C3,41,166,195
51,0x33,0x29A6FF,41,166,255
52,0x34,0x29C300,41,195,0
53,0x35,0x29C354,41,195,84
54,0x36,0x29C3C3,41,195,195
55,0x37,0x29C3FF,41,195,255
56,0x38,0x29E600,41,230,0
57,0x39,0x29E654,41,230,84
58,0x3A,0x29E6C3,41,230,195
59,0x3B,0x29E6FF,41,230,255
60,0x3C,0x29FF00,41,255,0
61,0x3D,0x29FF54,41,255,84
62,0x3E,0x29FFC3,41,255,195
63,0x3F,0x29FFFF,41,255,255
64,0x40,0x540000,84,0,0
65,0x41,0x540054,84,0,84
66,0x42,0x5400C3,84,0,195
67,0x43,0x5400FF,84,0,255
68,0x44,0x542900,84,41,0
69,0x45,0x542954,84,41,84
70,0x46,0x5429C3,84,41,195
71,0x47,0x5429FF,84,41,255
72,0x48,0x545400,84,84,0
73,0x49,0x545454,84,84,84
74,0x4A,0x5454C3,84,84,195
75,0x4B,0x5454FF,84,84,255
76,0x4C,0x547500,84,117,0
77,0x4D,0x547554,84,117,84
78,0x4E,0x5475C3,84,117,195
79,0x4F,0x5475FF,84,117,255
80,0x50,0x54A600,84,166,0
81,0x51,0x54A654,84,166,84
82,0x52,0x54A6C3,84,166,195
83,0x53,0x54A6FF,84,166,255
84,0x54,0x54C300,84,195,0
85,0x55,0x54C354,84,195,84
86,0x56,0x54C3C3,84,195,195
87,0x57,0x54C3FF,84,195,255
88,0x58,0x54E600,84,230,0
89,0x59,0x54E654,84,230,84
90,0x5A,0x54E6C3,84,230,195
91,0x5B,0x54E6FF,84,230,255
92,0x5C,0x54FF00,84,255,0
93,0x5D,0x54FF54,84,255,84
94,0x5E,0x54FFC3,84,255,195
95,0x5F,0x54FFFF,84,255,255
96,0x60,0x750000,117,0,0
97,0x61,0x750054,117,0,84
98,0x62,0x7500C3,117,0,195
99,0x63,0x7500FF,117,0,255
100,0x64,0x752900,117,41,0
101,0x65,0x752954,117,41,84
102,0x66,0x7529C3,117,41,195
103,0x67,0x7529FF,117,41,255
104,0x68,0x755400,117,84,0
105,0x69,0x755454,117,84,84
106,0x6A,0x7554C3,117,84,195
107,0x6B,0x7554FF,117,84,255
108,0x6C,0x757500,117,117,0
109,0x6D,0x757554,117,117,84
110,0x6E,0x7575C3,117,117,195
111,0x6F,0x7575FF,117,117,255
112,0x70,0x75A600,117,166,0
113,0x71,0x75A654,117,166,84
114,0x72,0x75A6C3,117,166,195
115,0x73,0x75A6FF,117,166,255
116,0x74,0x75C300,117,195,0
117,0x75,0x75C354,117,195,84
118,0x76,0x75C3C3,117,195,195
119,0x77,0x75C3FF,117,195,255
120,0x78,0x75E600,117,230,0
121,0x79,0x75E654,117,230,84
122,0x7A,0x75E6C3,117,230,195
123,0x7B,0x75E6FF,117,230,255
124,0x7C,0x75FF00,117,255,0
125,0x7D,0x75FF54,117,255,84
126,0x7E,0x75FFC3,117,255,195
127,0x7F,0x75FFFF,117,255,255
128,0x80,0xA60000,166,0,0
129,0x81,0xA60054,166,0,84
130,0x82,0xA600C3,166,0,195
131,0x83,0xA600FF,166,0,255
132,0x84,0xA62900,166,41,0
133,0x85,0xA62954,166,41,84
134,0x86,0xA629C3,166,41,195
135,0x87,0xA629FF,166,41,255
136,0x88,0xA65400,166,84,0
137,0x89,0xA65454,166,84,84
138,0x8A,0xA654C3,166,84,195
139,0x8B,0xA654FF,166,84,255
140,0x8C,0xA67500,166,117,0
141,0x8D,0xA67554,166,117,84
142,0x8E,0xA675C3,166,117,195
143,0x8F,0xA675FF,166,117,255
144,0x90,0xA6A600,166,166,0
145,0x91,0xA6A654,166,166,84
146,0x92,0xA6A6C3,166,166,195
147,0x93,0xA6A6FF,166,166,255
148,0x94,0xA6C300,166,195,0
149,0x95,0xA6C354,166,195,84
150,0x96,0xA6C3C3,166,195,195
151,0x97,0xA6C3FF,166,195,255
152,0x98,0xA6E600,166,230,0
153,0x99,0xA6E654,166,230,84
154,0x9A,0xA6E6C3,166,230,195
155,0x9B,0xA6E6FF,166,230,255
156,0x9C,0xA6FF00,166,255,0
157,0x9D,0xA6FF54,166,255,84
158,0x9E,0xA6FFC3,166,255,195
159,0x9F,0xA6FFFF,166,255,255
160,0xA0,0xC30000,195,0,0
161,0xA1,0xC30054,195,0,84
162,0xA2,0xC300C3,195,0,195
163,0xA3,0xC300FF,195,0,255
164,0xA4,0xC32900,195,41,0
165,0xA5,0xC32954,195,41,84
166,0xA6,0xC329C3,195,41,195
167,0xA7,0xC329FF,195,41,255
168,0xA8,0xC35400,195,84,0
169,0xA9,0xC35454,195,84,84
170,0xAA,0xC354C3,195,84,195
171,0xAB,0xC354FF,195,84,255
172,0xAC,0xC37500,195,117,0
173,0xAD,0xC37554,195,117,84
174,0xAE,0xC375C3,195,117,195
175,0xAF,0xC375FF,195,117,255
176,0xB0,0xC3A600,195,166,0
177,0xB1,0xC3A654,195,166,84
178,0xB2,0xC3A6C3,195,166,195
179,0xB3,0xC3A6FF,195,166,255
180,0xB4,0xC3C300,195,195,0
181,0xB5,0xC3C354,195,195,84
182,0xB6,0xC3C3C3,195,195,195
183,0xB7,0xC3C3FF,195,195,255
184,0xB8,0xC3E600,195,230,0
185,0xB9,0xC3E654,195,230,84
186,0xBA,0xC3E6C3,195,230,195
187,0xBB,0xC3E6FF,195,230,255
188,0xBC,0xC3FF00,195,255,0
189,0xBD,0xC3FF54,195,255,84
190,0xBE,0xC3FFC3,195,255,195
191,0xBF,0xC3FFFF,195,255,255
192,0xC0,0xE60000,230,0,0
193,0xC1,0xE60054,230,0,84
194,0xC2,0xE600C3,230,0,195
195,0xC3,0xE600FF,230,0,255
196,0xC4,0xE62900,230,41,0
197,0xC5,0xE62954,230,41,84
198,0xC6,0xE629C3,230,41,195
199,0xC7,0xE629FF,230,41,255
200,0xC8,0xE65400,230,84,0
201,0xC9,0xE65454,230,84,84
202,0xCA,0xE654C3,230,84,195
203,0xCB,0xE654FF,230,84,255
204,0xCC,0xE67500,230,117,0
205,0xCD,0xE67554,230,117,84
206,0xCE,0xE675C3,230,117,195
207,0xCF,0xE675FF,230,117,255
208,0xD0,0xE6A600,230,166,0
209,0xD1,0xE6A654,230,166,84
210,0xD2,0xE6A6C3,230,166,195
211,0xD3,0xE6A6FF,230,166,255
212,0xD4,0xE6C300,230,195,0
